entry_id,total_points,rank
7589670,1954,4908997
9391423,2032,3455585
7812312,1853,6748813
7580489,1723,8807525
8520163,2044,3234171
3186028,2050,3122239
3098087,2217,731047
8588402,1756,8321352
1579130,2025,3582984
5090229,2126,1865372
1521200,1867,6508816
9037778,1485,11253458
702636,2002,4004863
6646462,2080,2597683
2642313,1674,9453761
10454361,1766,8173716
251671,1887,6136682
8864767,1871,6431490
1059732,2284,255772
999102,1482,11272652
598155,2023,3618564
3191166,2099,2279195
504703,2114,2051779
5474295,2157,1417001
7390886,1507,11103958
4935045,2112,2078195
77071,1568,10615761
1425875,1977,4471441
7672723,1827,7197581
4666800,2101,2245808
6824615,2227,634579
1395923,1919,5553399
4261325,2075,2689941
5289474,1895,6005518
3853155,2145,1577551
8604777,2004,3974663
4849286,2200,901055
499155,2329,93247
1178155,2120,1951220
9447960,2112,2072535
1810714,1641,9858678
6717595,2009,3874892
1808636,1969,4625062
4880541,1806,7546919
6484622,1820,7308262
1121163,2260,385677
283376,1966,4683098
9143,2106,2167321
3581964,2233,583084
3518475,1706,9042783
877828,2173,1212519
1225381,2142,1623388
9499961,1274,12087004
3330112,148,12966344
4526084,2110,2109904
1462038,2140,1656088
5221232,2213,769023
5579861,2172,1215417
254167,2286,242799
6879513,2146,1566644
1979572,2012,3827009
2258155,1995,4139432
4133704,2082,2567505
183795,2270,330184
7800397,2141,1633033
8167540,2157,1412193
2980945,2003,3996205
3160584,2135,1730975
7506544,2115,2026653
8537346,1942,5129269
3199154,2223,668128
7033521,1478,11297564
6438287,2143,1606894
1954680,1905,5815484
3571294,2191,998093
7901,2337,75494
4526409,2276,295473
329349,2287,241459
3142497,2243,503085
6614831,2106,2166645
1683305,1981,4398039
706452,1712,8956544
2455490,1988,4271145
3577631,2071,2760260
4333179,1918,5583884
160646,2232,594059
5518957,2030,3496580
4971505,2120,1945555
6478857,1891,6061786
1231424,2361,37683
1246229,2355,45933
9776668,621,12777976
4077081,2000,4051336
260200,2206,838252
6185344,1991,4211821
7603571,2070,2785207
8115551,2058,2981789
2277305,1877,6329361
6477634,421,12868376
3067341,1922,5506078
2585962,2226,644286
3831638,2017,3734782
4185892,2210,790887
3184327,2108,2133805
2658782,1972,4569655
9293424,1343,11908709
3298230,2090,2440124
6513082,1598,10324762
8095279,1675,9441632
1316975,2340,70970
7070879,1867,6505777
795267,2174,1201455
1742141,1436,11533930
1829510,1985,4327730
649220,2032,3455585
3999809,2170,1243002
7060110,2028,3531351
10007045,1391,11740147
8237605,1856,6699406
4923029,1887,6141151
1153872,2187,1037127
3831855,2198,915914
10332594,1783,7900163
10306295,1408,11669343
1243865,2231,604504
4701302,2036,3375369
3563485,1984,4351371
3422198,1994,4153536
278079,1726,8755715
1160218,1758,8285584
4516325,1927,5411448
6902593,2062,2910684
4178602,2083,2561348
1014277,1987,4297356
781788,2160,1380102
2957048,2239,534242
4730536,2302,178077
6187192,1524,10985516
8908763,1775,8033830
2207522,2202,874457
6075788,2097,2314171
2322107,2081,2591278
8756683,1639,9881630
588554,2076,2670926
300215,2306,163200
7965703,1574,10551081
5997386,2234,576609
5231215,2006,3935191
562739,2040,3317394
356670,1974,4540158
1255501,1466,11370484
8090573,1757,8310221
5350330,2311,143549
1215209,2010,3866621
1262702,1801,7628184
9161960,1404,11682947
6170256,1573,10564328
745998,2160,1376029
2173396,1962,4765203
5902797,1517,11037799
7940295,2312,140701
1303075,805,12661793
507841,2281,271032
243816,2327,99728
6414493,2009,3873417
9775730,1746,8477585
208829,1722,8816574
10215092,890,12586132
1212139,2374,24372
1345567,1694,9196959
1520829,1702,9093820
10727425,1369,11819248
1939117,1928,5393649
4315155,2117,1991455
5538996,2108,2138884
6516881,2021,3651470
7679868,1840,6977061
7390742,1955,4894873
7761514,2189,1014371
9080699,1688,9279742
1405633,1566,10633855
8702294,1630,9980406
499791,1926,5436734
5204880,1375,11800880
1471903,2194,966118
8069117,1915,5634024
373976,2003,3997290
3862479,2101,2258494
1893895,1930,5358199
8342481,2000,4036603
10309654,1781,7935369
8158715,1814,7414596
6173200,2043,3256925
5050490,2015,3766927
3398635,2256,413818
8697219,2035,3401044
2845536,1838,6999230
5746604,1898,5941324
7414397,1947,5035260
4051425,1986,4303166
5485489,1991,4211821
6790699,1744,8500995
3330375,2187,1041061
7229224,1829,7163042
3683899,2191,990421
5309769,2303,171386
3521413,1828,7179011
2284660,1850,6805789
2257421,1947,5038348
5884527,1986,4308949
1076075,1843,6924410
4643867,1889,6113789
2837513,2012,3825796
1892963,1992,4202874
7560644,2053,3069547
7907970,2228,625966
4616467,2119,1962148
3591673,1855,6714044
6945513,1818,7349366
6418093,2255,417759
10498068,1399,11703974
5291059,2058,2988079
7591311,2165,1310474
5374518,2034,3426064
1252910,1875,6354340
528244,1610,10195060
4666142,2148,1534579
696060,2128,1825710
4715578,1854,6724640
9572777,1966,4678146
5942737,2131,1783839
5184669,1939,5195335
9463004,1785,7882300
2279708,1960,4790854
3186304,2045,3223434
414842,2084,2544146
3983063,1778,7984476
2363483,2041,3295003
7490705,2160,1368368
1829056,851,12623318
8982381,1705,9055479
10736007,2092,2395774
1308093,2215,743053
3322734,2082,2571215
7971566,1977,4472999
4295676,2172,1220243
2997856,2240,530747
606916,1981,4394779
3004780,2136,1704856
3799312,1896,5976769
4569358,1707,9027207
9054482,1747,8449647
8395588,2016,3751890
10308722,2083,2545811
2670805,2132,1768874
6602107,1845,6890177
3756802,1984,4346530
1463136,2087,2491261
6886749,1939,5180144
6509094,2285,246873
2179527,1963,4743686
7558186,2244,496413
7609075,1806,7546451
3303044,2137,1696220
112854,2133,1757948
6321702,2074,2707092
9227689,1213,12208130
9543117,1730,8704845
10950049,921,12556098
5756223,2106,2168159
5477213,2275,297905
1660352,2105,2196430
10764536,1568,10606842
2071719,2143,1606894
3578523,2104,2212420
4064984,2022,3637561
6546849,1528,10951763
5198548,1812,7447331
9008637,1525,10970137
4393671,2103,2217341
262531,1954,4913375
5846978,1804,7579678
8467784,1725,8771547
1388694,2190,1006818
623020,2129,1819440
5738716,1968,4638725
7070205,2062,2910212
476647,2308,154505
3662375,1951,4966711
7196324,1769,8121117
588953,2005,3953822
2900719,2333,83920
8944303,2084,2528826
5620440,1705,9054542
2357203,1987,4290365
7894721,1994,4153900
2494362,1530,10934593
8665851,2168,1274549
7384714,1728,8737964
8264143,1763,8217448
9713189,1637,9893622
1443235,2050,3127726
3714714,1935,5266883
7372280,2014,3786790
8835946,1841,6952368
9420930,1769,8130155
10718480,1646,9798642
8770839,1893,6038034
8627097,1737,8594969
9394756,1206,12219405
6395760,2131,1776393
10224616,1511,11075140
3493681,1481,11278829
5107925,1609,10206777
9138752,1644,9817532
8795052,1965,4691566
4579550,1783,7907474
8349142,2239,535695
3371671,2266,351431
6896838,1762,8231573
1917311,2342,67397
8441861,1487,11246013
82809,1926,5435267
6325518,2120,1943178
737408,2119,1962148
8657342,1744,8502604
9126751,1922,5502123
1564007,1174,12269395
2797957,2139,1671507
1105623,1948,5013035
9038146,1621,10081852
7699650,2069,2793109
6780670,1890,6086035
4516658,2068,2818543
4131851,2118,1983555
7938333,1871,6436613
8271782,1983,4360971
2130163,2198,920362
5698899,1898,5945971
7994893,1763,8219363
5321979,203,12952724
7038701,2155,1445569
493491,2100,2270146
4365814,1568,10615107
2172003,1957,4852824
382285,2181,1111391
597686,2380,20167
3256569,2053,3079303
2609345,2150,1506187
4766089,2363,35583
4101470,1559,10688558
10397954,1563,10656844
1759687,1955,4893995
8383180,2209,804008
9768311,1585,10454645
2059963,1608,10220343
8564250,1905,5808659
10461030,1660,9621746
4203593,2042,3273405
7327886,2027,3541175
390071,2212,772274
6303808,1903,5853512
8880981,1551,10758056
2679800,2155,1441484
3427019,1948,5019305
3663201,1906,5802718
8885533,2086,2495655
3626754,2066,2843194
10262810,1815,7397553
3903361,1972,4559192
5831691,1962,4761399
3038941,1779,7969837
10118801,2028,3520422
5284629,1914,5653726
3266276,2025,3593004
3659855,1990,4234424
3263873,1755,8330782
1625071,2074,2702072
2247010,1782,7931030
4015585,1930,5351709
2223679,1961,4780974
1478818,2218,717850
4353646,2318,122317
1627657,2280,275275
7294688,2147,1556887
7073788,1965,4703590
9114672,2060,2946445
2113985,2111,2088443
3366279,1966,4681092
6757507,1715,8915843
297942,1920,5545609
1611567,1955,4894452
3371115,1968,4648475
9561337,1933,5294822
1936263,1849,6818664
5762922,1976,4502668
3171017,2210,794940
1183669,2045,3218150
8087853,2022,3640120
1781293,1939,5184743
