code,web_name,full_name,club,n_headlines,headlines,sentiment,flags
85633,Sels,Matz Sels,Nott'm Forest,0,,,
215136,N.Williams,Neco Williams,Nott'm Forest,4,"1. Nottingham Forest 'concerned' about Neco Williams after latest - Yahoo Sports || 2. Neco Williams News: Stuffs the stat sheet - RotoWire || 3. Man United should pounce for Neco Williams as source reveals Nottingham Forest concerns - Football Insider || 4. Nottingham Forest have already got their Neco Williams successor, he's a real gem - Football Insider",,
17761,Tarkowski,James Tarkowski,Everton,8,1. Tarkowski talks defensive pride as unbeaten Everton build from the back - ToffeeWeb || 2. What We've Noticed About James Tarkowski's Impact as Everton Captain - Yahoo Sports || 3. James Tarkowski News: Assists only goal in 1-0 win - RotoWire || 4. What We've Noticed About James Tarkowski's Impact as Everton Captain - roundtable.io || 5. Tarkowski laughs off Thierno Barry ‘stealing’ his Everton goal - Read Everton || 6. James Tarkowski's latest recognition underlines a key Everton trend after win vs Ipswich Town - Yahoo Sports || 7. James Tarkowski easily leads PL category as Moyes vindicated over Everton ace - everton.news || 8. James Tarkowski admits there's a lot of pressure on Everton star right now but he's coping well - everton.news,,
487838,Hall,Lewis Hall,Newcastle,8,1. Man United-linked Lewis Hall: 'No-brainer' to stay at Newcastle - ESPN || 2. 'The mentality in the dressing room is really good' - Hall - BBC || 3. Lewis Hall's decision to snub Manchester United interest to remain at Newcastle was a 'no-brainer' - Chronicle Live || 4. Newcastle back to winning ways as Willock and Hall end Hull’s unbeaten start - The Guardian || 5. Lewis Hall says it was a 'no-brainer' to snub Man Utd despite transfer interest - The Mirror || 6. Man Utd target Lewis Hall target admits he will leave Newcastle United on one condition - Football365 || 7. Hall explains 'no brainer' decision to snub Man Utd transfer interest - London Evening Standard || 8. Lewis Hall makes Man United transfer claim after Newcastle decision - Manchester Evening News,,
222531,Gibbs-White,Morgan Gibbs-White,Nott'm Forest,8,1. Morgan Gibbs-White's hilarious video after leaving family holiday for England call-up! - Sky Sports || 2. Spurs eye £125m move for Gibbs-White - Monday's gossip - BBC || 3. Thomas Tuchel sent 'ridiculous' Morgan Gibbs-White message after Nottingham Forest snub - Nottingham Post || 4. England fans demand Gibbs-White 'is immediately sent back on holiday' after High School Musical song video - thesun.co.uk || 5. Thomas Tuchel has horribly misjudged Morgan Gibbs-White - The i Paper || 6. Morgan Gibbs-White gets partner’s pretend ire as England call cuts holiday short - Somerset County Gazette || 7. Morgan Gibbs-White is back in the England squad. Why did it take Thomas Tuchel so long? - The New York Times || 8. GIBBS-WHITE CALLED INTO ENGLAND SQUAD - Nottingham Forest FC,,
223340,Saka,Bukayo Saka,Arsenal,8,"1. England players carrying 'scar' from World Cup exit, says Bukayo Saka - BBC || 2. Bukayo Saka: 'Tough' to stay on England bench in Argentina World Cup loss - ESPN || 3. Saka issues Dowman challenge after Arsenal breakthrough: 'It's up to him' - London Evening Standard || 4. Bukayo Saka underperforming myth and the numbers that silence Arsenal critics - Football London || 5. Bukayo Saka is about to explode again at Arsenal and here's why - LiveScore || 6. Brighton vs Arsenal: Bukayo Saka odds to back for Premier League clash - Football Whispers || 7. Saka explains Arteta 'dream' as Arsenal boss agrees bumper new deal - London Evening Standard || 8. Saka: Scars still remain from England's World Cup defeat to Argentina - FotMob",,
244851,Palmer,Cole Palmer,Chelsea,8,"1. Alonso confident there’s ‘more to come’ from Cole Palmer | News | Official Site - Chelsea Football Club || 2. Palmer & Rice among five withdrawals from England squad - BBC || 3. England latest: Cole Palmer withdraws from Thomas Tuchel's squad ahead of long international break - Sky Sports || 4. Tuchel considers England recall for Cole Palmer in Nations League squad - The Guardian || 5. Cole Palmer one of five players withdrawn from England squad as replacements immediately confirmed - talkSPORT || 6. Cole Palmer, Declan Rice and Marcus Rashford among England withdrawals; Morgan Gibbs-White called up - The New York Times || 7. Cole Palmer 'set to WITHDRAW from England squad on first return since World Cup snub' along with two Man Utd stars - thesun.co.uk || 8. Xabi Alonso says there is 'more to come' from Cole Palmer at Chelsea - Football London",,
466052,Cherki,Rayan Cherki,Man City,8,1. Manchester City 2 - 1 Sunderland: Rayan Cherki restores City's lead - Sky Sports || 2. Cherki eager to continue producing attacking returns - Manchester City FC || 3. FPL gameweek five tips: Keep or sell Man City's Rayan Cherki? - BBC || 4. 'I think he's a genius' - Hart hails Cherki strike - BBC || 5. What Rayan Cherki did vs Norwich to show he has a new Man City role - Manchester Evening News || 6. Rayan Cherki 'honoured' by Zinedine Zidane appointment as Man City star prepares for new era with France - Goal.com || 7. Rayan Cherki climbs into Premier League top 10 - Read Man City || 8. Bayern rule out Rayan Cherki and change plans to bolster attack - OneFootball,,
223094,Haaland,Erling Haaland,Man City,8,"1. Haaland completes Premier League set by scoring against Sunderland - Manchester City FC || 2. Manchester City 5 - 3 Sunderland: Erling Haaland completes his goal catalogue in scoring against all 25 Premier League opponents he's faced - Sky Sports || 3. Bayern Munich hatch Haaland plan after Kane reaches decision on joining Man Utd - Football365 || 4. 'Haaland is something to behold' - City legend Lake - BBC || 5. 25 out of 25: Erling Haaland Completes Premier League Collection With Goal Versus Sunderland - Opta Analyst || 6. Haaland completes astonishing feat - but Maresca 'unhappy' despite City victory - TNT Sports || 7. Erling Haaland, the player no Premier League team can stop - The New York Times || 8. Man City have finally solved their Erling Haaland problem - The i Paper",,
216646,Wissa,Yoane Wissa,Newcastle,8,"1. Matthias Jaissle whisper to Yoane Wissa revealed after Newcastle United star's penalty miss - Chronicle Live || 2. FPL notes: Wissa pen miss + Newcastle the new DefCon kings? - fantasyfootballscout.co.uk || 3. Newcastle United vs Hull City: 27/5 bet builder tips: Wissa to lead Magpies to crucial win - talkSPORT || 4. Forget about Wissa: Why Jaissle must bench Newcastle star after Hull - Football FanCast || 5. Watch out Wissa: Newcastle have one of the world's ""best teen prospects"" - Football FanCast || 6. Newcastle vs Hull City confirmed team news: Yoane Wissa starts - Read Newcastle || 7. Forget Barnes & Wissa: £35m star is officially Newcastle's best player - Football FanCast || 8. Forget Fernandez-Pardo & Wissa: Why £42m Newcastle star is the next Isak - Football FanCast",,
